group, freq
के,16458
में,15338
से,7152
को,6599
का,5886
की,5818
के##लिए,3800
पर,3791
ने,3635
है,2844
हैं,2138
भी,1425
जाता##है,1255
सकते##हैं,744
गया##था,697
गया,695
गए,602
था,588
ही,542
हुए,442
दिया,427
में##से,415
गया##है,406
सकता##है,362
थे,302
जाते##हैं,277
गई,270
थी,238
चाहिए,215
में##भी,205
रहे##हैं,204
लिया,188
जाती##है,179
जाने,172
जाता##था,171
सकती##है,169
कर,165
जा##सकता##है,163
वाला,149
दिया##गया,111
होगा,111
गए##थे,107
सकें,101
को##भी,99
रहा##है,97
से##भी,88
जाएगा,85
हुआ##है,83
दिया##गया##था,78
गई##थी,75
से##ही,75
का##भी,74
गए##हैं,73
दिया##था,71
रही##है,70
जाती##हैं,69
दी,66
के##लिए##भी,61
रहे##थे,60
पर##भी,59
पड़ा,58
सके,57
रहे,55
हुए##हैं,53
सकती##हैं,50
लिया##था,50
दें,49
सा,49
जाना##चाहिए,48
रहा##था,48
लें,46
जाए,46
ही##में,46
हुई,43
थीं,43
जाने##वाला,41
हुआ,40
गईं,38
देते##हैं,36
दिया##है,36
लगे,35
दिए,35
होता##है,35
हो,34
हुई##है,33
देता##है,33
जा##रहा##है,33
जाने##के,32
में##ही,32
आए,30
होंगे,30
जा##सकते##हैं,30
ने##भी,30
दीं,30
गई##है,30
की##भी,29
ली,28
होगी,28
रहा,27
लगा,26
हों,25
रही,25
हुआ##था,25
दिया##गया##है,24
होते##हैं,24
लिया##गया,24
जा##सके,24
जाते##थे,24
पड़##सकता##है,23
लीजिए,23
होती##है,22
रहे##हों,22
पड़ता##है,22
रही##हैं,22
करते##हैं,21
दिया##जाता##है,21
लेते##हैं,21
इति,21
रही##थी,20
देती##है,20
जाएगी,19
जा##सकती##है,19
दी##गई,17
देगा,16
जाने##से,16
चुके##हैं,15
जाने##पर,15
गई##हैं,15
कर##सकते##हैं,14
हुई##हैं,14
डाला,14
लिया##गया##था,14
जाने##लगा,14
देंगे,14
दिया##जाएगा,13
लेता##है,13
रखा,13
पर##ही,13
चुकी##थी,12
जाएँ,12
करता##है,12
किया,12
देने,12
हूँ,12
रखने##के##लिए,12
हुई##थी,12
जा##रहा##था,12
जाने##का,11
पड़ी,11
सकते##थे,11
गई##थीं,11
जा##रही##है,11
जाएँगे,11
पड़े,10
देती##हैं,10
किया##गया##है,10
रहता##है,10
सकेंगे,10
हुए##थे,10
जाया##गया,9
रखने,9
होती,9
रखते##हैं,8
जाने##के##लिए,8
किया##जा##सकता##है,8
हूं,8
दी##गई##थी,8
करता##था,8
जा##सकती##हैं,8
दी##थी,8
रहते##हैं,8
रहती##है,8
को##ही,8
जाएंगे,8
हो##सकता##है,8
चुकी##है,8
पड़ता##था,7
चुके##थे,7
चुका##है,7
चुके,7
सकता##था,7
करेंगे,7
जाएं,7
रहना,7
ली##है,7
जाना,7
जाना##है,7
फेंका,7
वाले##हैं,7
लगता##है,7
करते,7
मिला,7
पड़ा##था,7
रहें,6
दिए##गए,6
देना,6
लेंगे,6
दी##है,6
करते##थे,6
लगते##हैं,6
आया,6
किया##था,6
हुए##है,6
हुए##भी,6
चुका##था,6
जाने##थे,6
पड़ा,6
देगी,5
पड़ा##है,5
जाना##था,5
होना##चाहिए,5
रहने,5
सका,5
जानते,5
दी##गईं,5
किया##जाता##है,5
किया##गया,5
दिए##हैं,5
रही##थीं,5
जानी##चाहिए,5
लगे##थे,5
रहे##होंगे,5
निकले,5
संभाली,5
के##भी,5
पड़ता,5
लिया##जाता##है,5
पाएँगे,5
दी##हैं,5
दिया##जाना##चाहिए,5
दी##गई##है,5
सकती##थी,5
देना##चाहिए,5
रहे##होते##हैं,5
गयी,5
होता,5
जाता##रहा##है,5
जा##रहे##हैं,5
शक्नुवन्ति,5
पड़##सकती##है,5
वाली##है,5
रहने##के,5
किया##गया##था,5
पाते##हैं,4
डाला##था,4
रहा##हो,4
हुई##थीं,4
देने##के,4
कर##सकता,4
कर##सकते,4
लिए,4
लगीं,4
करना,4
निकला,4
करना##चाहिए,4
करता,4
चाहिएँ,4
के##के,4
होनी##चाहिए,4
जाती##थीं,4
स्म,4
जाते,4
होती##हैं,4
जा##रही,4
के##ही,4
गया##हैः,4
रखता##है,4
सकते##है,4
ही##के,4
रखने##में,4
जाया##गया##था,4
दिया##जाए,4
हो##सकी,4
पर##से,4
जा##रहे##थे,4
जा##रही##हैं,4
जाती##थी,4
हो##सकती##है,4
हो##जाता##है,4
की##गई##है,4
गया##हो,4
लेना,4
जा##सकें,4
होने##का,4
दी##थीं,4
करती##है,4
दी##जाती##है,4
लगा##था,3
लेते,3
करेगा,3
जाने##में,3
रखना,3
करती##थी,3
रहा##हूँ,3
होते,3
दे,3
लिया##जाए,3
रहीं,3
पाएँ,3
लेती##है,3
के##लिए##ही,3
ने##ही,3
होने##के,3
माना##जाता##है,3
की##है,3
जाते##रहे##हैं,3
देने##के##लिए,3
लिया##है,3
रखें,3
मिल##रहा##है,3
चाहते##हैं,3
की##जाती##है,3
लेगा,3
पड़ता##है,3
कर##सके,3
हैः,3
लगी##थीं,3
जा##चुका##है,3
रहेगा,3
हो##सके,3
ली##थी,3
आएगी,3
पड़##सकते##हैं,3
दिए##जाते##हैं,3
रखेगा,3
जाया##जाता##है,3
चुकी##हैं,3
वाला##है,3
का##ही,3
जाने##चाहिए,3
लेना##चाहिए,3
रहती##हैं,3
कर##रहे##हैं,3
कर##पाई##थी,3
कर##सकता##है,3
आती##हैं,3
होने,3
देने##से,2
बढ़##सके,2
की##गई,2
पाया,2
दीजिए,2
दिए##गए##हैं,2
रखने##से,2
रखा##है,2
बैठे,2
आई,2
होना,2
देने##वाला,2
लिए##हैं,2
जाते##है,2
आएँ,2
आता,2
हैंः,2
है##पर,2
देने##पर,2
जाता,2
लेनी##चाहिए,2
वाली##थी,2
रखने##का,2
पड़ी,2
देंगी,2
सकते,2
जाती,2
सुनी,2
लिया##होता,2
रहने##के##लिए,2
जाने##वाले,2
हुआ##पाते##हैं,2
आसीत्।,2
पहने##जाते##हैं,2
रखा##था,2
मारा##था,2
पड़ेगी,2
में##में,2
जा##सकता##हैः,2
रखते##हुए,2
दी##जाती##हैं,2
होते##थे,2
लेने##के##लिए,2
दिया##जाता##था,2
सकी,2
रहती,2
किया##जाएगा,2
मिला##है,2
देते##थे,2
बैठा,2
हो##रहा##है,2
वाले,2
गया##होता##था,2
गिरा,2
गईं##थीं,2
लिए##गए,2
लिया##हो,2
पड़ती##थी,2
हो##गया,2
जा##रही##थी,2
हो##गए,2
रही##होती##है,2
जा##सकने,2
जा##सकते##थे,2
लेगी,2
सकने,2
पड़े,2
उठी,2
जाता##हैं,2
पर##के,2
हो##सकती,2
रखा##जाता##है,2
गिरे,2
मिलता##है,2
मानता,2
लेने##से,2
करती##थीं,2
किया##है,2
लड़ा,2
रहेंगे,2
हो##जाता,2
हो##जाती,2
बनाई##थी,2
लिए##थे,2
जानते##हैं,2
खाता##है,2
मिली##थी,2
आते##हैं,2
ले##सके,2
फेंका##था,2
गयी##है,2
सकते##हों,2
करती##हैं,2
गई##होगी,2
दे##रहा##है,2
लीं,2
किया##जा##सकता,2
आया##है,2
कर##पाई,2
पहुंच##पाए,2
मिली##है,2
बचा##है,2
रहा##हूं,2
सका##है,2
कर##रहे##थे,2
आ##रही##है,2
लगी,2
लेने##के,2
किए##गए##हैं,2
हो##रही##है,2
गये,2
लिया##जाता,2
आती,1
रह##सका,1
गईं##हैं,1
दिया##हो,1
कहा,1
रही##हों,1
मिले,1
करना##पड़ेगा,1
होना##पड़ेगा,1
लिए##रखा##है,1
देने##में,1
बढ़ेंगे,1
तोड़ते##हैं,1
करनी##चाहिए,1
मारने##का,1
हैे,1
जान##लेता,1
देखा##हैं,1
कर##सकते##थे,1
गिराया##गया,1
की##गईं,1
खोल##पाने##के,1
की##जा##सकती,1
ली##जाती##हैं,1
दिया##होगा,1
चाहिएः,1
तोड़ा,1
मिल##रहे##हैं,1
खरीदी##हैं,1
जाएगीं,1
दे##रहे##थे,1
मारा,1
दिए##जाने##पर,1
जाइये,1
रख##पाते##हैं,1
मिलेगी,1
सकता##हूँ,1
गईं##थी,1
दे##रहा##था,1
दी##जाती,1
मिल##जाता##है,1
चुका,1
पाए##जा##सकते##हैं,1
कहता##है,1
छोड़ें,1
रखती##है,1
जीता##है,1
सकेंगी,1
गिरता##है,1
पड़##रहा##है,1
किए##हैं,1
जा##चूका##होता##है,1
रखी,1
पहना,1
बनी,1
मिल##सकती,1
बताते##हैं,1
लगी##है,1
दे##सकते##हैं,1
रही##हो,1
हुआ##हो##सकता##है,1
खेलने##का,1
डाल##पाते##थे,1
दिए##जाने,1
हुआ##पाता##है,1
जाया##जाता##था,1
दिए##जाते##थे,1
समझ##पा##रहे##हैं,1
मिली,1
जाये,1
लिखा##जा##सकता##है,1
समझ##पाए,1
पड़##सकता##है,1
रखा##जा##सकता##है,1
कर##रखना,1
खोया##है,1
मिल##जाती,1
दे##सकती##है,1
हिला##कर,1
फूट##कर,1
लगाया##जाता##है,1
लिया##जाएगा,1
चले,1
में##से##भी,1
रहे##हैंI,1
चाहती##है,1
ली##गई##है,1
सकता,1
देता,1
लायो।,1
रहने##से,1
लिये##जाने##के,1
डालेगा,1
दी##हो,1
जानते##हों,1
चलता,1
खेल##पाए,1
देते,1
के##लिए##को,1
जाया##करते##थे,1
देती##थीं,1
ली##गईं,1
फेंका##गया##था,1
मिलेंगें,1
पर##पर,1
रहा##हैं,1
चली##गईं,1
कर##पा##रहे##हैं,1
देतीं,1
रखना##चाहिए,1
जानम्,1
रखने##के##लिए##भी,1
गया##में,1
खरीदनी##चाहिए,1
मानते,1
कर##रहा##है,1
गिराने,1
जा##रहे,1
सके##है,1
कर##सका,1
पाए##जाते##हैं,1
जा##रही##थीं,1
खा##सकते##हैं,1
बना##सकते,1
पड़ता##था,1
पड़ती##है,1
जाने##चाहिएँ,1
पडा,1
पाने,1
कर##रखा##जाना##चाहिए,1
रहना##होगा,1
सौंपा,1
की##जानी##चाहिए,1
आईं,1
निकले##हैं,1
दिये,1
जुटा##पाया##है,1
कहा##गया##है,1
रखी##जा##सकी,1
दे##रहे##हैं,1
लिखे##गए,1
अस्ति,1
के##लिए##के##लिए,1
चाहेंगें,1
दिए##गए##थे,1
कर##रहेगा,1
रखेगा##है,1
जा,1
जाने##लगीं,1
हो##पाई,1
बन##सकता##है,1
रह##जाने##पर,1
चली,1
खेला##था,1
चल##सका,1
देखें,1
लिया##करते##थे,1
पाए,1
मानी##जाती##है,1
कर##पाए,1
बुझती,1
खुला##है,1
जाने##वाली##थी,1
रखे##जाने##के,1
किए##जाएंगे,1
पाए##गए##हैं,1
छोड़ा,1
पड़ीं,1
पड़ेंगे,1
पाता,1
अस्ति।,1
निभाई##थी,1
बच##पाए,1
दिया##जाता,1
जा##चुके,1
रख##सके,1
आये,1
होती##थीं,1
होने##से,1
कर##रखा##है,1
दे##रहे##होते##हैं,1
हुईं,1
सकती##हैः,1
लाएं,1
सोचेंगे,1
ठहराया##जा##सकता##है,1
किया##जाना##चाहिए,1
रखते##थे,1
जाने##लगा##था,1
करके,1
जायेगा,1
लगी##हैं,1
फेंकेंगे,1
बदलते##हैं,1
रखा##जाएगा,1
हुए##हैंI,1
बढ़ा,1
रहता##था,1
के##में##भी,1
के##पर,1
जाते##था,1
कर##पा##रहे,1
सका##था,1
लिया##होगा,1
रहने##के##लिए##भी,1
होते##है,1
डालती##हैं,1
लगती##है,1
की##जाती##थी,1
पाया##जाता##है,1
चुन##सकते##हैं,1
रखना##भी,1
रखे##रहना##भी,1
दर्शाती##हैं,1
चुके##हों,1
रख##सकते##हैं,1
बैठ##सका,1
दिख##रही##है,1
समझा##हो,1
कर##सकती##थी,1
बना##रहे##हैं,1
बची##हैं,1
ढूँढ##सकते##हैं,1
ही##वाला,1
के##लिए##से,1
मांगी,1
किए##जाने##के,1
रहना##पड़ता##था,1
रखी##गई##है,1
रखना##है,1
लेना##ही,1
लगाया,1
किए##गए,1
पाएगा,1
मनाया##जाता##है,1
पाएंगे,1
आई##है,1
जाएंगी,1
चल##पाया##है,1
देने##चाहिए,1
मिल##रही##है,1
जाना##भी,1
जाता##हैः,1
भूलेगा,1
जाती##रही##है,1
हुआ##हो,1
लिखा,1
चली##गई,1
रखी##हैं,1
लगाया##गया##है,1
सोचें,1
रह##गया##था,1
मिल##सकते##हैं,1
किये##गए##थे,1
चुकी##होती##है,1
किया##गया##होता##है,1
पड़ी##है,1
पाने##के##लिए,1
जाने##वाली,1
मानी,1
लेने##वाला,1
दे##चुके##हैं,1
आ##गया##है,1
गई##हैः,1
जाएँगें,1
बढ़ता##है,1
पा##सकी##थी,1
कर##पाती##हैं,1
लिए##गए##हैं,1
जा##सकेगा,1
देनी##चाहिए,1
मिलती##है,1
रहने##का,1
बनाता,1
जा##सका,1
आते,1
चलते##थे,1
खाते##हैं,1
जाना##पड़##सकता##है,1
दिखेंगे,1
चले##गए,1
देख##लेते##हैं,1
जोड़ा##है,1
पाई##जाती##हैं,1
डालते##हैं,1
तोड़ेगा,1
रखी##होगी,1
रखा##गया##है,1
बचे##हैं,1
रखी##जाती##है,1
उठाने##के##लिए,1
करने##के##लिए,1
खड़ा##हुआ##था,1
हुए##थी,1
रहे##है,1
की##जाए,1
लिए##गए##थे,1
अपनाई##गई##है,1
देखा,1
दी##जा##सकी,1
दे##चुकी##हैं,1
पा##सकते##हैं,1
करने##पर,1
बेचती##हैं,1
लगता##था,1
सोचा,1
दोहराएँगे,1
किया##जाता##था,1
जीतता,1
बताता##है,1
देना##होगा,1
हो##सका,1
डालने,1
बनाया##गया##था,1
दिखता##है,1
लिखा##गया,1
पाऐंगे,1
कर##पाता##है,1
आइये,1
जाता##हूँ##में,1
गुज़रता,1
लिया##गया##है,1
रहना##भी,1
लेती##हैं,1
हो##पाया##है,1
कह##सकता##है,1
रहे##हो,1
चूके##थे,1
रखा##जाना##चाहिए,1
करते##हुए,1
रखवाना,1
चलें,1
बताया##था,1
आ##रही,1
डालीं,1
लिया##जाता##था,1
पाया##गया##है,1
आ##रहे,1
घोंपा,1
फिल्माया##गया##था,1
कर##रहे##होते##हैं,1
दे##पाएगा,1
खाती,1
कहा##जा##सकता##था,1
दिए##जाएँ,1
ली##जाएगी,1
चाहता,1
दियाI,1
बनता,1
जाना##होगा,1
दिखाई,1
उठाया,1
दिए##जाते##है,1
चाहता##था,1
किया##जा##सकता##था,1
पाई##जाने,1
बता##पाएँगे,1
की##हो,1
दे##कर,1
खोले##हैं,1
की##जाएगी,1
आता##है,1
हो##सकता,1
गयी##थी,1
चला##सकते##हैं,1
छूना##चाहिए,1
भटकेंगे,1
लगा##सके##थे,1
बताया##गया##है,1
जगा##पाती##है,1
उगती##हैं,1
हैंं,1
रखने##के,1
डालते##थे,1
कर##पाते##हैं,1
रखी##थी,1
कर##पा##रहे##थे,1
उठाता##है,1
ठहराया##जाना##चाहिए,1
समझे,1
लौटा,1
फेंकने,1
रखे##थे,1
जाता##हो,1
निकाल##लेते,1
जा##रहें##हैं,1
आ##गया,1
की##थी,1
भरा##होगा,1
मिलेगा,1
कर##लेती,1
खेल##रहे##थे,1
पहुंच##पाया##है,1
जा##सकता##था,1
सकने##में,1
देने##पड़ेंगे,1
करने,1
बनाया##गया##है,1
रही##हूं,1
कर##पाएगी,1
बढ़ेगी,1
पहुंचता,1
खुलेंगी,1
ले,1
सकने##के,1
पड़े##थे,1
होना##चाहिए##था,1
रहते,1
कहेंगे,1
बना##सकीं,1
मिल##सकी,1
बन##गई,1
को##में,1
की##ही,1
हैभी,1
सोचा##होगा,1
डाला##गया,1
गया##होगा,1
वाली,1
वाली##हैI,1
गए##है,1
दिए##थे,1
पाएं,1
दिखती##हैं,1
दी##जाने,1
बताया##गया,1
सकीं,1
दियाः,1
लेने##का,1
पड़ेगी,1
देना##है,1
सकतें##है,1
गच्छन्ति,1
सूनी##हो,1
लिए##हुए,1
दिया##जाता##हैं,1
लीजिये,1
पहनेंगे,1
ली##हैं,1
लिए##जाने##के,1
आ##रहा,1
आने##का##भी,1
कर##दिया##गया,1
कर##रही##है,1
थींः,1
लेने,1
डालते##हुए,1
करने##का,1
देने##का,1
देता##हो,1
चले##आते##हैं,1
में##के##लिए,1
हो##सकते##हैं,1
रहते##थे,1
दे##रहे##हों,1
देने##लगे,1
दे##दिया,1
चाहते##थे,1
कर##दिया,1
जोड़ता##है,1
लगेगा,1
हुई##जाती##हैं,1
लगाना,1
